id,name,baseBudget,timeSlots,characteristics
1,高校生,800,"afternoon,evening","低予算;友人と来店;ボリューム重視"
2,大学生,1200,"lunch,evening,night","中予算;味と量どちらも重視;創作系にも反応"
3,会社員,1500,"lunch,evening","速さと安定志向;適正価格に敏感;刺激・塩分も好む"
4,キャリアウーマン,1800,"lunch","見た目と清潔感重視;脂控えめ;軽めのメニュー好む"
5,マダム,2000,"lunch,afternoon","ゆっくり食事志向;盛り付けや内装への評価が高い"
6,フリーター,1000,"lunch,evening,night,late_night","コスパ重視;ジャンキー系にも好反応;柔軟な時間帯"
7,深夜ドライバー,1400,"late_night,morning","美味しい店に詳しい;脂と旨味に敏感;接客評価も重視"
8,家族連れ,2500,"lunch,afternoon","ボリューム・清潔さ重視;サイドメニューの受注も多い"
9,高齢者,1100,"morning,lunch","塩分控えめ;柔らかい具材;温度や器の評価が鋭い"
10,観光客,2200,"lunch,evening","個性派ラーメンにも好反応;価格に鈍感;写真映えや体験価値を重視"
