id,name,category
thick_noodles,太麺,noodles
thin_noodles,細麺,noodles
medium_noodles,中太麺,noodles
flat_noodles,平打ち麺,noodles
chicken_broth,鶏白湯,soup
pork_broth,豚骨,soup
miso_broth,味噌,soup
seafood_broth,魚介系,soup
shoyu_tare,醤油だれ,sauce
miso_tare,味噌だれ,sauce
shio_tare,塩だれ,sauce
tonkotsu_tare,豚骨だれ,sauce
black_garlic_oil,黒マー油,oil
scallion_oil,ネギ油,oil
chili_oil,ラー油,oil
sesame_oil,ごま油,oil
char_siu,チャーシュー,topping
ajitama,味玉,topping
menma,メンマ,topping
nori,海苔,topping
corn,コーン,topping
butter,バター,topping
green_onion,青ネギ,topping
bean_sprouts,もやし,topping
black_bowl,黒どんぶり,presentation
white_bowl,白どんぶり,presentation
wooden_bowl,木製どんぶり,presentation
ceramic_bowl,陶器どんぶり,presentation
